intent,response
greeting,Xin chào! Mình có thể giúp gì cho bạn hôm nay?!
greeting,Xin chào! Mình có thể giúp gì cho bạn hôm nay?
greeting,Xin chào! Mình có thể giúp gì cho bạn hôm nay? 😊
greeting,Xin chào! Mình có thể giúp gì cho bạn hôm nay? nhé!
ask_price,Bạn muốn hỏi mức giá của món hàng nào vậy?!
ask_price,Bạn muốn hỏi giá của sản phẩm nào vậy?
ask_price,Bạn muốn hỏi chi phí của mặt hàng nào vậy?!
ask_price,Bạn muốn hỏi chi phí của món hàng nào vậy?!
ask_price,Bạn muốn hỏi chi phí của món hàng nào vậy? 😊
find_product,Để mình xem có những mặt hàng nào phù hợp nhé: nhé!
find_product,Để mình xem có những món hàng nào phù hợp nhé: 😊
find_product,Để mình xem có những sản phẩm nào phù hợp nhé:
find_product,Để mình xem có những đồ nào phù hợp nhé: nhé!
recommend_gift,"Bạn định tậu món quà cho ai ạ (bạn gái, mẹ, bạn bè...)?!"
recommend_gift,"Bạn định mua quà cho ai ạ (bạn gái, mẹ, bạn bè...)?"
recommend_gift,"Bạn định tậu quà tặng cho ai ạ (bạn gái, mẹ, bạn bè...)? 😊"
recommend_gift,"Bạn định tậu món quà cho ai ạ (bạn gái, mẹ, bạn bè...)? 😊"
recommend_gift,"Bạn định mua sắm món quà cho ai ạ (bạn gái, mẹ, bạn bè...)? 😊"
recommend_gift,"Bạn định mua sắm món quà cho ai ạ (bạn gái, mẹ, bạn bè...)? nhé!"
thanks,Cảm ơn bạn! Rất vui được giúp.!
thanks,Cảm ơn bạn! Rất vui được giúp.
thanks,Cảm ơn bạn! Rất vui được giúp. nhé!
goodbye,"Tạm biệt, hẹn gặp lại bạn sau nhé!"
goodbye,"Tạm biệt, hẹn gặp lại bạn sau nhé!!"
goodbye,"Tạm biệt, hẹn gặp lại bạn sau nhé! 😊"
goodbye,"Tạm biệt, hẹn gặp lại bạn sau nhé! nhé!"
unknown,"Xin lỗi, mình chưa hiểu rõ câu hỏi của bạn. Bạn nói cụ thể hơn được không?"
unknown,"Xin lỗi, mình chưa hiểu rõ câu hỏi của bạn. Bạn nói cụ thể hơn được không?!"
unknown,"Xin lỗi, mình chưa hiểu rõ câu hỏi của bạn. Bạn nói cụ thể hơn được không? 😊"
product_availability,Sản phẩm này hiện có trong kho nhé!
product_availability,Sản phẩm này hiện có trong kho nhé! 😊
product_availability,Sản phẩm này hiện có trong kho nhé!!
product_availability,Sản phẩm này hiện có trong kho nhé! nhé!
product_out_of_stock,"Rất tiếc, mặt hàng này hiện đang hết hàng. 😊"
product_out_of_stock,"Rất tiếc, món hàng này hiện đang hết hàng. nhé!"
product_out_of_stock,"Rất tiếc, sản phẩm này hiện đang hết hàng."
product_out_of_stock,"Rất tiếc, món hàng này hiện đang hết hàng. 😊"
product_out_of_stock,"Rất tiếc, đồ này hiện đang hết hàng. 😊"
delivery_info,Chúng tôi có hỗ trợ giao hàng tận nơi. Bạn muốn giao tới đâu?
delivery_info,Chúng tôi có hỗ trợ giao hàng tận nơi. Bạn muốn giao tới đâu? nhé!
delivery_info,Chúng tôi có hỗ trợ giao hàng tận nơi. Bạn muốn giao tới đâu? 😊
store_location,"Cửa hàng chúng tôi nằm tại số 123, đường ABC, quận XYZ. nhé!"
store_location,"Cửa hàng chúng tôi nằm tại số 123, đường ABC, quận XYZ.!"
store_location,"Cửa hàng chúng tôi nằm tại số 123, đường ABC, quận XYZ."
return_policy,Bạn có thể trả hoặc đổi đồ trong vòng 7 ngày kể từ khi nhận hàng. 😊
return_policy,Bạn có thể trả hoặc đổi mặt hàng trong vòng 7 ngày kể từ khi nhận hàng.!
return_policy,Bạn có thể trả hoặc đổi sản phẩm trong vòng 7 ngày kể từ khi nhận hàng.
return_policy,Bạn có thể trả hoặc đổi đồ trong vòng 7 ngày kể từ khi nhận hàng. nhé!
return_policy,Bạn có thể trả hoặc đổi món hàng trong vòng 7 ngày kể từ khi nhận hàng. 😊
payment_methods,"Chúng tôi chấp nhận thanh toán bằng thẻ, chuyển khoản hoặc tiền mặt. 😊"
payment_methods,"Chúng tôi chấp nhận thanh toán bằng thẻ, chuyển khoản hoặc tiền mặt.!"
payment_methods,"Chúng tôi chấp nhận thanh toán bằng thẻ, chuyển khoản hoặc tiền mặt."
payment_methods,"Chúng tôi chấp nhận thanh toán bằng thẻ, chuyển khoản hoặc tiền mặt. nhé!"
gift_wrapping,Chúng tôi có gói món quà miễn phí. Bạn có muốn gói không?!
gift_wrapping,Chúng tôi có gói quà miễn phí. Bạn có muốn gói không?
gift_wrapping,Chúng tôi có gói quà tặng miễn phí. Bạn có muốn gói không?!
gift_wrapping,Chúng tôi có gói tặng phẩm miễn phí. Bạn có muốn gói không? nhé!
gift_wrapping,Chúng tôi có gói món quà miễn phí. Bạn có muốn gói không? 😊
promotion_info,Hiện đang có chương trình giảm giá tiền 10% cho khách hàng thân thiết. 😊
promotion_info,Hiện đang có chương trình giảm mức giá 10% cho khách hàng thân thiết. 😊
promotion_info,Hiện đang có chương trình giảm giá tiền 10% cho khách hàng thân thiết.!
promotion_info,Hiện đang có chương trình giảm giá 10% cho khách hàng thân thiết.
promotion_info,Hiện đang có chương trình giảm chi phí 10% cho khách hàng thân thiết.!
promotion_info,Hiện đang có chương trình giảm mức giá 10% cho khách hàng thân thiết.!
product_material,Sản phẩm được làm từ gỗ/đá/gốm sứ tùy loại. 😊
product_material,Sản phẩm được làm từ gỗ/đá/gốm sứ tùy loại.
product_material,Sản phẩm được làm từ gỗ/đá/gốm sứ tùy loại. nhé!
product_size,"Sản phẩm có nhiều kích thước khác nhau, bạn muốn xem size nào? nhé!"
product_size,"Sản phẩm có nhiều kích thước khác nhau, bạn muốn xem size nào?"
product_size,"Sản phẩm có nhiều kích thước khác nhau, bạn muốn xem size nào? 😊"
product_color_options,"Sản phẩm có các màu: đỏ, xanh, vàng, trắng. 😊"
product_color_options,"Sản phẩm có các màu: đỏ, xanh, vàng, trắng.!"
product_color_options,"Sản phẩm có các màu: đỏ, xanh, vàng, trắng."
product_color_options,"Sản phẩm có các màu: đỏ, xanh, vàng, trắng. nhé!"
order_status,Bạn vui lòng cung cấp mã đơn hàng để mình kiểm tra nhé.!
order_status,Bạn vui lòng cung cấp mã đơn hàng để mình kiểm tra nhé.
order_status,Bạn vui lòng cung cấp mã đơn hàng để mình kiểm tra nhé. nhé!
order_status,Bạn vui lòng cung cấp mã đơn hàng để mình kiểm tra nhé. 😊
custom_order,Chúng tôi có nhận đặt hàng theo yêu cầu. Bạn muốn thiết kế như thế nào? nhé!
custom_order,Chúng tôi có nhận đặt hàng theo yêu cầu. Bạn muốn thiết kế như thế nào?
custom_order,Chúng tôi có nhận đặt hàng theo yêu cầu. Bạn muốn thiết kế như thế nào?!
custom_order,Chúng tôi có nhận đặt hàng theo yêu cầu. Bạn muốn thiết kế như thế nào? 😊
return_process,Bạn chỉ cần mang sản phẩm đến cửa hàng hoặc gửi lại qua bưu điện.
return_process,Bạn chỉ cần mang mặt hàng đến cửa hàng hoặc gửi lại qua bưu điện. 😊
return_process,Bạn chỉ cần mang món hàng đến cửa hàng hoặc gửi lại qua bưu điện.!
return_process,Bạn chỉ cần mang đồ đến cửa hàng hoặc gửi lại qua bưu điện.!
return_process,Bạn chỉ cần mang mặt hàng đến cửa hàng hoặc gửi lại qua bưu điện. nhé!
bulk_order,"Nếu bạn muốn mua sắm số lượng lớn, mình có thể hỗ trợ báo giá tiền riêng.!"
bulk_order,"Nếu bạn muốn mua số lượng lớn, mình có thể hỗ trợ báo giá riêng."
bulk_order,"Nếu bạn muốn sắm số lượng lớn, mình có thể hỗ trợ báo chi phí riêng.!"
bulk_order,"Nếu bạn muốn mua sắm số lượng lớn, mình có thể hỗ trợ báo chi phí riêng.!"
bulk_order,"Nếu bạn muốn tậu số lượng lớn, mình có thể hỗ trợ báo mức giá riêng.!"
bulk_order,"Nếu bạn muốn mua sắm số lượng lớn, mình có thể hỗ trợ báo mức giá riêng.!"
product_recommendation,Bạn có thể tham khảo những mặt hàng sau phù hợp với sở thích của bạn. 😊
product_recommendation,Bạn có thể tham khảo những mặt hàng sau phù hợp với sở thích của bạn. nhé!
product_recommendation,Bạn có thể tham khảo những sản phẩm sau phù hợp với sở thích của bạn.
product_recommendation,Bạn có thể tham khảo những món hàng sau phù hợp với sở thích của bạn.!
product_recommendation,Bạn có thể tham khảo những món hàng sau phù hợp với sở thích của bạn. nhé!
loyalty_program,"Chúng tôi có chương trình khách hàng thân thiết, bạn muốn tham gia không? 😊"
loyalty_program,"Chúng tôi có chương trình khách hàng thân thiết, bạn muốn tham gia không?"
loyalty_program,"Chúng tôi có chương trình khách hàng thân thiết, bạn muốn tham gia không? nhé!"
loyalty_program,"Chúng tôi có chương trình khách hàng thân thiết, bạn muốn tham gia không?!"
store_opening_hours,Cửa hàng mở từ 8h sáng đến 8h tối mỗi ngày.!
store_opening_hours,Cửa hàng mở từ 8h sáng đến 8h tối mỗi ngày. 😊
store_opening_hours,Cửa hàng mở từ 8h sáng đến 8h tối mỗi ngày.
store_contact_info,Bạn có thể liên hệ qua số 0123-456-789 hoặc email shop@example.com. nhé!
store_contact_info,Bạn có thể liên hệ qua số 0123-456-789 hoặc email shop@example.com.
store_contact_info,Bạn có thể liên hệ qua số 0123-456-789 hoặc email shop@example.com. 😊
store_contact_info,Bạn có thể liên hệ qua số 0123-456-789 hoặc email shop@example.com.!
new_arrivals,"Hiện tại có một số món hàng mới về, bạn có muốn xem không?!"
new_arrivals,"Hiện tại có một số sản phẩm mới về, bạn có muốn xem không?"
new_arrivals,"Hiện tại có một số đồ mới về, bạn có muốn xem không? nhé!"
new_arrivals,"Hiện tại có một số đồ mới về, bạn có muốn xem không?!"
new_arrivals,"Hiện tại có một số đồ mới về, bạn có muốn xem không? 😊"
best_seller,Những mặt hàng bán chạy nhất hiện tại là những món này...!
best_seller,Những đồ bán chạy nhất hiện tại là những món này...!
best_seller,Những đồ bán chạy nhất hiện tại là những món này... nhé!
best_seller,Những sản phẩm bán chạy nhất hiện tại là những món này...
best_seller,Những món hàng bán chạy nhất hiện tại là những món này...!
special_offer,Hiện có chương trình tậu 1 tặng 1 cho một số mặt hàng.!
special_offer,Hiện có chương trình mua 1 tặng 1 cho một số sản phẩm.
special_offer,Hiện có chương trình sắm 1 tặng 1 cho một số mặt hàng.!
special_offer,Hiện có chương trình mua sắm 1 tặng 1 cho một số món hàng. nhé!
special_offer,Hiện có chương trình sắm 1 tặng 1 cho một số đồ. 😊
product_description,"Sản phẩm này rất tinh xảo, thích hợp làm món quà lưu niệm.!"
product_description,"Sản phẩm này rất tinh xảo, thích hợp làm quà lưu niệm."
product_description,"Sản phẩm này rất tinh xảo, thích hợp làm quà tặng lưu niệm.!"
product_description,"Sản phẩm này rất tinh xảo, thích hợp làm quà tặng lưu niệm. 😊"
complaint_handling,"Mình rất tiếc về trải nghiệm của bạn, bạn có thể mô tả sự cố để mình hỗ trợ? 😊"
complaint_handling,"Mình rất tiếc về trải nghiệm của bạn, bạn có thể mô tả sự cố để mình hỗ trợ? nhé!"
complaint_handling,"Mình rất tiếc về trải nghiệm của bạn, bạn có thể mô tả sự cố để mình hỗ trợ?"
complaint_handling,"Mình rất tiếc về trải nghiệm của bạn, bạn có thể mô tả sự cố để mình hỗ trợ?!"
feedback_request,Bạn có thể cho mình biết cảm nhận về mặt hàng không? nhé!
feedback_request,Bạn có thể cho mình biết cảm nhận về món hàng không? 😊
feedback_request,Bạn có thể cho mình biết cảm nhận về món hàng không? nhé!
feedback_request,Bạn có thể cho mình biết cảm nhận về đồ không? nhé!
feedback_request,Bạn có thể cho mình biết cảm nhận về sản phẩm không?
product_recommend_for_birthday,"Nếu bạn muốn tặng sinh nhật, mình gợi ý những món món quà này... nhé!"
product_recommend_for_birthday,"Nếu bạn muốn tặng sinh nhật, mình gợi ý những món quà tặng này... 😊"
product_recommend_for_birthday,"Nếu bạn muốn tặng sinh nhật, mình gợi ý những món quà tặng này... nhé!"
product_recommend_for_birthday,"Nếu bạn muốn tặng sinh nhật, mình gợi ý những món quà này..."
product_recommend_for_birthday,"Nếu bạn muốn tặng sinh nhật, mình gợi ý những món tặng phẩm này... 😊"
product_recommend_for_anniversary,"Nếu bạn muốn tặng kỷ niệm, bạn có thể chọn những món hàng này... nhé!"
product_recommend_for_anniversary,"Nếu bạn muốn tặng kỷ niệm, bạn có thể chọn những đồ này... nhé!"
product_recommend_for_anniversary,"Nếu bạn muốn tặng kỷ niệm, bạn có thể chọn những món hàng này...!"
product_recommend_for_anniversary,"Nếu bạn muốn tặng kỷ niệm, bạn có thể chọn những đồ này... 😊"
product_recommend_for_anniversary,"Nếu bạn muốn tặng kỷ niệm, bạn có thể chọn những sản phẩm này..."
product_recommend_for_anniversary,"Nếu bạn muốn tặng kỷ niệm, bạn có thể chọn những mặt hàng này...!"
product_recommend_for_friend,"Bạn muốn tặng bạn bè, mình có vài gợi ý vui nhộn đây..."
product_recommend_for_friend,"Bạn muốn tặng bạn bè, mình có vài gợi ý vui nhộn đây... 😊"
product_recommend_for_friend,"Bạn muốn tặng bạn bè, mình có vài gợi ý vui nhộn đây... nhé!"
product_recommend_for_parents,"Bạn muốn tặng bố mẹ, những sản phẩm này rất phù hợp."
product_recommend_for_parents,"Bạn muốn tặng bố mẹ, những món hàng này rất phù hợp. nhé!"
product_recommend_for_parents,"Bạn muốn tặng bố mẹ, những món hàng này rất phù hợp.!"
product_recommend_for_colleague,"Nếu tặng đồng nghiệp, mình gợi ý những món tặng phẩm lịch sự và nhỏ gọn. 😊"
product_recommend_for_colleague,"Nếu tặng đồng nghiệp, mình gợi ý những món quà lịch sự và nhỏ gọn."
product_recommend_for_colleague,"Nếu tặng đồng nghiệp, mình gợi ý những món món quà lịch sự và nhỏ gọn.!"
product_recommend_for_colleague,"Nếu tặng đồng nghiệp, mình gợi ý những món quà tặng lịch sự và nhỏ gọn. 😊"
product_recommend_for_colleague,"Nếu tặng đồng nghiệp, mình gợi ý những món tặng phẩm lịch sự và nhỏ gọn. nhé!"
gift_budget_low,"Bạn muốn chọn tặng phẩm trong tầm giá tiền thấp, mình có vài lựa chọn. nhé!"
gift_budget_low,"Bạn muốn chọn tặng phẩm trong tầm chi phí thấp, mình có vài lựa chọn. 😊"
gift_budget_low,"Bạn muốn chọn món quà trong tầm mức giá thấp, mình có vài lựa chọn. 😊"
gift_budget_low,"Bạn muốn chọn tặng phẩm trong tầm chi phí thấp, mình có vài lựa chọn.!"
gift_budget_low,"Bạn muốn chọn quà tặng trong tầm mức giá thấp, mình có vài lựa chọn.!"
gift_budget_low,"Bạn muốn chọn quà trong tầm giá thấp, mình có vài lựa chọn."
gift_budget_medium,"Bạn muốn chọn quà tặng tầm trung, những món sau rất phù hợp. 😊"
gift_budget_medium,"Bạn muốn chọn quà tặng tầm trung, những món sau rất phù hợp.!"
