text,intent,clean_text
Cho mình hỏi Xin chào?,greeting,cho minh hoi xin chao
Mình muốn biết Xin chào?,greeting,minh muon biet xin chao
Bạn có thể cho mình biết Xin chào nếu có thể.,greeting,ban co the cho minh biet xin chao neu co the
Cho mình hỏi Xin chào giúp mình nhé.,greeting,cho minh hoi xin chao giup minh nhe
Xin chào,greeting,xin chao
Xin hỏi Xin chào?,greeting,xin hoi xin chao
Xin hỏi Xin chào được không?,greeting,xin hoi xin chao duoc khong
Xin hỏi Xin chào nếu có thể.,greeting,xin hoi xin chao neu co the
Bạn có thể cho mình biết Xin chào?,greeting,ban co the cho minh biet xin chao
Mình muốn biết Chào bạn giúp mình nhé.,greeting,minh muon biet chao ban giup minh nhe
Xin hỏi Chào bạn?,greeting,xin hoi chao ban
Chào bạn,greeting,chao ban
Bạn có thể cho mình biết Chào bạn giúp mình nhé.,greeting,ban co the cho minh biet chao ban giup minh nhe
Bạn có thể cho mình biết Chào bạn nếu có thể.,greeting,ban co the cho minh biet chao ban neu co the
Cho mình hỏi Chào bạn được không?,greeting,cho minh hoi chao ban duoc khong
Bạn có thể cho mình biết Chào bạn?,greeting,ban co the cho minh biet chao ban
Xin hỏi Chào bạn được không?,greeting,xin hoi chao ban duoc khong
Mình muốn biết Chào shop được không?,greeting,minh muon biet chao shop duoc khong
Bạn có thể cho mình biết Chào shop?,greeting,ban co the cho minh biet chao shop
Bạn có thể cho mình biết Chào shop được không?,greeting,ban co the cho minh biet chao shop duoc khong
Cho mình hỏi Chào shop được không?,greeting,cho minh hoi chao shop duoc khong
Mình muốn biết Chào shop?,greeting,minh muon biet chao shop
Mình muốn biết Chào shop giúp mình nhé.,greeting,minh muon biet chao shop giup minh nhe
Xin hỏi Chào shop được không?,greeting,xin hoi chao shop duoc khong
Chào shop,greeting,chao shop
Bạn có thể cho mình biết Chào shop nếu có thể.,greeting,ban co the cho minh biet chao shop neu co the
Hello,greeting,hello
Xin hỏi Hello?,greeting,xin hoi hello
Bạn có thể cho mình biết Hello được không?,greeting,ban co the cho minh biet hello duoc khong
Mình muốn biết Hello nếu có thể.,greeting,minh muon biet hello neu co the
Mình muốn biết Hello giúp mình nhé.,greeting,minh muon biet hello giup minh nhe
Cho mình hỏi Hello được không?,greeting,cho minh hoi hello duoc khong
Bạn có thể cho mình biết Hello giúp mình nhé.,greeting,ban co the cho minh biet hello giup minh nhe
Bạn có thể cho mình biết Hello?,greeting,ban co the cho minh biet hello
Hi,greeting,hi
Mình muốn biết Hi?,greeting,minh muon biet hi
Cho mình hỏi Hi giúp mình nhé.,greeting,cho minh hoi hi giup minh nhe
Bạn có thể cho mình biết Hi?,greeting,ban co the cho minh biet hi
Cho mình hỏi Hi nếu có thể.,greeting,cho minh hoi hi neu co the
Xin hỏi Hi giúp mình nhé.,greeting,xin hoi hi giup minh nhe
Mình muốn biết Hi giúp mình nhé.,greeting,minh muon biet hi giup minh nhe
Cho mình hỏi Có ai ở đây không?,greeting,cho minh hoi co ai o day khong
Bạn có thể cho mình biết Có ai ở đây không được không?,greeting,ban co the cho minh biet co ai o day khong duoc khong
Cho mình hỏi Có ai ở đây không được không?,greeting,cho minh hoi co ai o day khong duoc khong
Có ai ở đây không,greeting,co ai o day khong
Cho mình hỏi Có ai ở đây không giúp mình nhé.,greeting,cho minh hoi co ai o day khong giup minh nhe
Bạn có thể cho mình biết Có ai ở đây không giúp mình nhé.,greeting,ban co the cho minh biet co ai o day khong giup minh nhe
Mình muốn biết Có ai ở đây không nếu có thể.,greeting,minh muon biet co ai o day khong neu co the
Shop ơi,greeting,shop oi
Bạn có thể cho mình biết Shop ơi giúp mình nhé.,greeting,ban co the cho minh biet shop oi giup minh nhe
Xin hỏi Shop ơi nếu có thể.,greeting,xin hoi shop oi neu co the
Mình muốn biết Shop ơi nếu có thể.,greeting,minh muon biet shop oi neu co the
Cho mình hỏi Shop ơi nếu có thể.,greeting,cho minh hoi shop oi neu co the
Xin hỏi Shop ơi giúp mình nhé.,greeting,xin hoi shop oi giup minh nhe
Xin hỏi Chào buổi sáng được không?,greeting,xin hoi chao buoi sang duoc khong
Xin hỏi Chào buổi sáng?,greeting,xin hoi chao buoi sang
Xin hỏi Chào buổi sáng nếu có thể.,greeting,xin hoi chao buoi sang neu co the
Mình muốn biết Chào buổi sáng?,greeting,minh muon biet chao buoi sang
Xin hỏi Chào buổi sáng giúp mình nhé.,greeting,xin hoi chao buoi sang giup minh nhe
Mình muốn biết Chào buổi sáng nếu có thể.,greeting,minh muon biet chao buoi sang neu co the
Cho mình hỏi Chào buổi sáng nếu có thể.,greeting,cho minh hoi chao buoi sang neu co the
Chào buổi sáng,greeting,chao buoi sang
Bạn có thể cho mình biết Chào buổi sáng giúp mình nhé.,greeting,ban co the cho minh biet chao buoi sang giup minh nhe
Bạn có thể cho mình biết Chào buổi chiều nếu có thể.,greeting,ban co the cho minh biet chao buoi chieu neu co the
Chào buổi chiều,greeting,chao buoi chieu
Cho mình hỏi Chào buổi chiều?,greeting,cho minh hoi chao buoi chieu
Xin hỏi Chào buổi chiều được không?,greeting,xin hoi chao buoi chieu duoc khong
Bạn có thể cho mình biết Chào buổi chiều giúp mình nhé.,greeting,ban co the cho minh biet chao buoi chieu giup minh nhe
Xin hỏi Chào buổi chiều nếu có thể.,greeting,xin hoi chao buoi chieu neu co the
Bạn có thể cho mình biết Chào buổi chiều?,greeting,ban co the cho minh biet chao buoi chieu
Mình muốn biết Chào buổi chiều?,greeting,minh muon biet chao buoi chieu
Bạn có thể cho mình biết Rất vui được gặp bạn giúp mình nhé.,greeting,ban co the cho minh biet rat vui duoc gap ban giup minh nhe
