intent,response
greeting,"Xin chào! Mình có thể giúp gì cho bạn hôm nay?"
ask_price,"Bạn muốn hỏi giá của sản phẩm nào vậy?"
find_product,"Để mình xem có những sản phẩm nào phù hợp nhé:"
recommend_gift,"Bạn định mua quà cho ai ạ (bạn gái, mẹ, bạn bè...)?"
thanks,"Cảm ơn bạn! Rất vui được giúp."
goodbye,"Tạm biệt, hẹn gặp lại bạn sau nhé!"
unknown,"Xin lỗi, mình chưa hiểu rõ câu hỏi của bạn. Bạn nói cụ thể hơn được không?"
product_availability,"Sản phẩm này hiện có trong kho nhé!"
product_out_of_stock,"Rất tiếc, sản phẩm này hiện đang hết hàng."
delivery_info,"Chúng tôi có hỗ trợ giao hàng tận nơi. Bạn muốn giao tới đâu?"
store_location,"Cửa hàng chúng tôi nằm tại số 123, đường ABC, quận XYZ."
return_policy,"Bạn có thể trả hoặc đổi sản phẩm trong vòng 7 ngày kể từ khi nhận hàng."
payment_methods,"Chúng tôi chấp nhận thanh toán bằng thẻ, chuyển khoản hoặc tiền mặt."
gift_wrapping,"Chúng tôi có gói quà miễn phí. Bạn có muốn gói không?"
promotion_info,"Hiện đang có chương trình giảm giá 10% cho khách hàng thân thiết."
product_material,"Sản phẩm được làm từ gỗ/đá/gốm sứ tùy loại."
product_size,"Sản phẩm có nhiều kích thước khác nhau, bạn muốn xem size nào?"
product_color_options,"Sản phẩm có các màu: đỏ, xanh, vàng, trắng."
order_status,"Bạn vui lòng cung cấp mã đơn hàng để mình kiểm tra nhé."
custom_order,"Chúng tôi có nhận đặt hàng theo yêu cầu. Bạn muốn thiết kế như thế nào?"
return_process,"Bạn chỉ cần mang sản phẩm đến cửa hàng hoặc gửi lại qua bưu điện."
bulk_order,"Nếu bạn muốn mua số lượng lớn, mình có thể hỗ trợ báo giá riêng."
product_recommendation,"Bạn có thể tham khảo những sản phẩm sau phù hợp với sở thích của bạn."
loyalty_program,"Chúng tôi có chương trình khách hàng thân thiết, bạn muốn tham gia không?"
store_opening_hours,"Cửa hàng mở từ 8h sáng đến 8h tối mỗi ngày."
store_contact_info,"Bạn có thể liên hệ qua số 0123-456-789 hoặc email shop@example.com."
new_arrivals,"Hiện tại có một số sản phẩm mới về, bạn có muốn xem không?"
best_seller,"Những sản phẩm bán chạy nhất hiện tại là những món này..."
special_offer,"Hiện có chương trình mua 1 tặng 1 cho một số sản phẩm."
product_description,"Sản phẩm này rất tinh xảo, thích hợp làm quà lưu niệm."
complaint_handling,"Mình rất tiếc về trải nghiệm của bạn, bạn có thể mô tả sự cố để mình hỗ trợ?"
feedback_request,"Bạn có thể cho mình biết cảm nhận về sản phẩm không?"
product_recommend_for_birthday,"Nếu bạn muốn tặng sinh nhật, mình gợi ý những món quà này..."
product_recommend_for_anniversary,"Nếu bạn muốn tặng kỷ niệm, bạn có thể chọn những sản phẩm này..."
product_recommend_for_friend,"Bạn muốn tặng bạn bè, mình có vài gợi ý vui nhộn đây..."
product_recommend_for_parents,"Bạn muốn tặng bố mẹ, những sản phẩm này rất phù hợp."
product_recommend_for_colleague,"Nếu tặng đồng nghiệp, mình gợi ý những món quà lịch sự và nhỏ gọn."
gift_budget_low,"Bạn muốn chọn quà trong tầm giá thấp, mình có vài lựa chọn."
gift_budget_medium,"Bạn muốn chọn quà tầm trung, những món sau rất phù hợp."
gift_budget_high,"Bạn muốn chọn quà cao cấp, mình gợi ý những món sang trọng."
store_holiday_schedule,"Cửa hàng sẽ nghỉ lễ vào các ngày 1/1, 30/4, 1/5 và 2/9."
product_care_instructions,"Bạn nên vệ sinh sản phẩm bằng khăn mềm và tránh nước trực tiếp."
gift_personalization,"Chúng tôi có dịch vụ khắc tên hoặc ghi thông điệp lên sản phẩm."
product_comparison,"Bạn muốn so sánh sản phẩm nào với nhau?"
pre_order_info,"Một số sản phẩm mới có thể đặt trước, bạn muốn đặt không?"
special_packaging,"Chúng tôi có bao bì quà đặc biệt cho dịp lễ."
bulk_discount,"Mua nhiều sản phẩm sẽ được giảm giá, bạn có muốn biết chi tiết?"
membership_discount,"Thành viên cửa hàng sẽ được ưu đãi thêm 5%."
order_tracking,"Bạn có thể theo dõi đơn hàng qua link chúng tôi gửi."
payment_installment,"Chúng tôi hỗ trợ thanh toán trả góp với lãi suất 0%."
product_origin,"Sản phẩm được nhập khẩu từ Nhật Bản, Hàn Quốc, Việt Nam..."
product_certification,"Sản phẩm có giấy chứng nhận chất lượng."
return_condition,"Sản phẩm phải còn nguyên vẹn, chưa qua sử dụng để được đổi trả."
gift_suggestion_for_kid,"Bạn muốn tặng trẻ em, mình gợi ý những món dễ thương và an toàn."
gift_suggestion_for_teen,"Bạn muốn tặng tuổi teen, mình có vài gợi ý phong cách."
gift_suggestion_for_adult,"Bạn muốn tặng người lớn, đây là những món phổ biến."
gift_suggestion_for_travel,"Nếu bạn muốn tặng người thích đi du lịch, những món sau phù hợp."
product_set_offer,"Một số sản phẩm bán theo bộ, bạn có muốn mua cả bộ không?"
gift_wrapping_fee,"Gói quà có phí 10.000 VND, bạn có muốn thêm không?"
store_event,"Sắp tới cửa hàng có workshop làm quà lưu niệm, bạn có muốn tham gia?"
subscription_service,"Chúng tôi có dịch vụ đăng ký sản phẩm theo tháng, bạn muốn tìm hiểu không?"
gift_occasion_new_year,"Nếu dịp Tết, mình gợi ý những món quà may mắn và phong thủy."
gift_occasion_valentine,"Nếu dịp Valentine, đây là các món quà ý nghĩa cho người yêu."
gift_occasion_mother_day,"Nếu dịp Ngày của Mẹ, bạn có thể chọn những món quà sau..."
gift_occasion_father_day,"Nếu dịp Ngày của Bố, bạn có thể tham khảo những món sau..."
customer_support_online,"Bạn có thể chat trực tiếp với nhân viên để được hỗ trợ nhanh."
feedback_positive,"Cảm ơn bạn đã phản hồi tích cực!"
feedback_negative,"Mình đã ghi nhận phản hồi của bạn và sẽ cải thiện dịch vụ."
product_return_address,"Bạn có thể gửi sản phẩm về địa chỉ cửa hàng để đổi trả."
product_warranty,"Sản phẩm có bảo hành 6 tháng kể từ ngày mua."
product_custom_request,"Bạn muốn thay đổi thiết kế hay thêm chi tiết gì cho sản phẩm?"
order_cancellation,"Bạn có thể hủy đơn hàng trước khi sản phẩm được giao."
order_modification,"Bạn có thể chỉnh sửa đơn hàng trước khi chúng được vận chuyển."
product_sample_request,"Bạn muốn nhận mẫu thử trước khi mua không?"
gift_inspiration,"Nếu bạn chưa biết chọn gì, đây là một số ý tưởng quà tặng."
intent,response
gift_occasion_wedding,"Nếu bạn muốn tặng quà cưới, bạn có thể tham khảo những sản phẩm này..."
gift_occasion_baby_shower,"Dành cho dịp chào đời em bé, đây là các món quà thích hợp."
gift_occasion_graduation,"Nếu tặng tốt nghiệp, bạn có thể chọn những món kỷ niệm này."
gift_occasion_housewarming,"Mình gợi ý các món quà ý nghĩa cho dịp tân gia."
gift_occasion_anniversary,"Bạn muốn kỷ niệm ngày cưới hay quan hệ, mình có vài gợi ý."
eco_friendly_product,"Chúng tôi có các sản phẩm thân thiện môi trường."
handmade_product,"Các sản phẩm thủ công tại cửa hàng rất tinh xảo."
limited_edition_product,"Hiện có một số sản phẩm phiên bản giới hạn, bạn muốn xem không?"
personalized_message,"Bạn có thể thêm lời nhắn cá nhân cho sản phẩm."
gift_pack_combo,"Chúng tôi có các combo quà tặng kết hợp nhiều sản phẩm."
birthday_surprise_package,"Mình có gợi ý combo quà sinh nhật bất ngờ."
festival_special_pack,"Combo đặc biệt cho các dịp lễ hội như Tết, Giáng sinh."
seasonal_collection,"Hiện có bộ sưu tập theo mùa, bạn muốn xem không?"
online_exclusive_offer,"Có một số sản phẩm chỉ bán online với giá ưu đãi."
membership_reward_point,"Khách hàng thân thiết sẽ nhận điểm thưởng khi mua hàng."
flash_sale_notification,"Hiện đang có flash sale, bạn muốn mình gửi thông tin không?"
gift_set_recommendation,"Mình gợi ý các set quà được phối sẵn, đẹp mắt và tiện lợi."
handcraft_tutorials,"Bạn có muốn xem hướng dẫn làm đồ thủ công tại nhà?"
gift_inspiration_for_couples,"Gợi ý quà tặng dành cho các cặp đôi yêu nhau."
gift_inspiration_for_parents,"Gợi ý quà tặng ý nghĩa dành cho bố mẹ."
gift_inspiration_for_friends,"Gợi ý quà tặng vui nhộn, thân thiện cho bạn bè."
gift_inspiration_for_children,"Gợi ý quà tặng an toàn và dễ thương cho trẻ em."
special_requests_handling,"Chúng tôi có thể xử lý yêu cầu đặc biệt cho sản phẩm."
delivery_time_estimate,"Thời gian giao hàng ước tính từ 2-5 ngày làm việc."
express_delivery_option,"Chúng tôi có tùy chọn giao nhanh, bạn muốn thử không?"
gift_wrapping_custom_design,"Bạn muốn thiết kế gói quà theo phong cách riêng?"
return_policy_extended,"Bạn có thể trả hàng trong 14 ngày nếu sản phẩm không vừa ý."
international_shipping_info,"Chúng tôi có giao hàng quốc tế, bạn muốn gửi tới quốc gia nào?"
gift_for_corporate_clients,"Bạn muốn mua quà cho khách hàng doanh nghiệp, mình có gợi ý."
custom_order_deadline,"Để đặt hàng theo yêu cầu, bạn nên đặt trước 7 ngày."
holiday_special_discount,"Có chương trình giảm giá đặc biệt cho ngày lễ, bạn muốn xem không?"
store_loyalty_points,"Bạn có thể tích lũy điểm cho mỗi đơn hàng."
product_demo_available,"Bạn có thể thử sản phẩm trực tiếp tại cửa hàng."
gift_for_teachers,"Mình có vài gợi ý quà tặng dành cho giáo viên."
gift_for_students,"Món quà ý nghĩa cho học sinh, sinh viên."
gift_for_travelers,"Gợi ý quà dành cho người thích đi du lịch, tiện lợi và nhỏ gọn."
gift_for_art_lovers,"Nếu họ yêu nghệ thuật, bạn có thể chọn các sản phẩm trang trí đẹp mắt."
gift_for_collectors,"Dành cho người sưu tập, các phiên bản giới hạn sẽ phù hợp."
gift_for_couples,"Gợi ý quà tặng lãng mạn cho các cặp đôi."
gift_for_anniversary,"Gợi ý quà kỷ niệm ngày quan trọng."
special_event_promotion,"Hiện đang có khuyến mãi cho các sự kiện đặc biệt."
gift_for_festival,"Quà tặng dành cho các dịp lễ hội: Tết, Giáng sinh, Halloween..."
eco_packaging_option,"Bạn có muốn chọn gói quà thân thiện môi trường?"
handmade_packaging_option,"Gói quà thủ công tinh xảo."
product_recommendation_based_on_interest,"Mình có thể gợi ý sản phẩm dựa trên sở thích của bạn."
new_product_alert,"Sản phẩm mới vừa về, bạn có muốn xem không?"
special_discount_code,"Bạn có thể sử dụng mã giảm giá đặc biệt này khi thanh toán."
gift_inspiration_for_relatives,"Gợi ý quà tặng cho họ hàng, anh chị em, cháu chắt..."
gift_for_anniversary_couple,"Gợi ý quà cho cặp đôi kỷ niệm 1 năm, 5 năm, 10 năm..."
gift_for_wedding_guests,"Gợi ý quà tặng cho khách mời trong lễ cưới."
gift_for_company_event,"Gợi ý quà tặng cho sự kiện công ty."
gift_for_team_building,"Quà tặng cho đồng nghiệp trong hoạt động team building."
gift_for_special_occasions,"Gợi ý quà cho các dịp đặc biệt như khai trương, tốt nghiệp, thăng chức..."
intent,response
greeting,Chào bạn! Mình có thể giúp gì nè 😊
thanks,Rất vui khi được giúp bạn!
goodbye,Hẹn gặp lại nhé 👋
find_product,Đây là những sản phẩm mình tìm được nè 💎
unknown,Mình chưa hiểu lắm bạn nói rõ hơn được không?
